timestamp,ear,mar,risk_score,status
2026-08-05 09:40:39,0.873,0.688,0.212,Alert
2026-08-05 09:40:39,0.9,0.663,0.189,Alert
2026-08-05 09:40:40,0.874,0.676,0.201,Alert
2026-08-05 09:40:40,0.846,0.671,0.197,Alert
2026-08-05 09:40:40,0.878,0.639,0.168,Alert
2026-08-05 09:40:40,0.828,0.704,0.226,Alert
2026-08-05 09:40:40,0.719,0.663,0.189,Alert
2026-08-05 09:40:40,0.69,0.671,0.197,Alert
2026-08-05 09:40:40,0.555,0.684,0.208,Alert
2026-08-05 09:40:40,0.411,0.623,0.154,Alert
2026-08-05 09:40:40,0.343,0.647,0.175,Alert
2026-08-05 09:40:40,0.328,0.66,0.186,Alert
2026-08-05 09:40:40,0.301,0.64,0.169,Alert
2026-08-05 09:40:40,0.315,0.637,0.166,Alert
2026-08-05 09:40:40,0.265,0.623,0.154,Alert
2026-08-05 09:40:40,0.287,0.673,0.198,Alert
2026-08-05 09:40:40,0.317,0.65,0.178,Alert
2026-08-05 09:40:40,0.342,0.673,0.198,Alert
2026-08-05 09:40:40,0.334,0.683,0.207,Alert
2026-08-05 09:40:40,0.343,0.652,0.179,Alert
2026-08-05 09:40:40,0.411,0.686,0.21,Alert
2026-08-05 09:40:40,0.329,0.686,0.21,Alert
2026-08-05 09:40:40,0.37,0.652,0.179,Alert
2026-08-05 09:40:40,0.347,0.663,0.19,Alert
2026-08-05 09:40:40,0.341,0.663,0.19,Alert
2026-08-05 09:40:40,0.317,0.663,0.19,Alert
2026-08-05 09:40:40,0.355,0.685,0.209,Alert
2026-08-05 09:40:40,0.317,0.726,0.245,Alert
2026-08-05 09:40:40,0.346,0.558,0.096,Alert
2026-08-05 09:40:40,0.337,0.608,0.14,Alert
2026-08-05 09:40:40,0.303,0.624,0.154,Alert
2026-08-05 09:40:40,0.312,0.557,0.095,Alert
2026-08-05 09:40:40,0.367,0.501,0.046,Alert
2026-08-05 09:40:40,0.327,0.542,0.082,Alert
2026-08-05 09:40:40,0.334,0.568,0.105,Alert
2026-08-05 09:40:40,0.318,0.568,0.105,Alert
2026-08-05 09:40:40,0.337,0.559,0.096,Alert
2026-08-05 09:40:40,0.288,0.619,0.15,Alert
2026-08-05 09:40:40,0.294,0.642,0.17,Alert
2026-08-05 09:40:40,0.317,0.653,0.18,Alert
2026-08-05 09:40:40,0.291,0.632,0.162,Alert
2026-08-05 09:40:40,0.303,0.618,0.149,Alert
2026-08-05 09:40:40,0.286,0.589,0.124,Alert
2026-08-05 09:40:40,0.298,0.457,0.006,Alert
2026-08-05 09:40:40,0.294,0.853,0.358,Alert
2026-08-05 10:08:46,0.873,0.688,0.212,Alert
2026-08-05 10:08:46,0.9,0.663,0.189,Alert
2026-08-05 10:08:46,0.874,0.676,0.201,Alert
2026-08-05 10:08:46,0.846,0.671,0.197,Alert
2026-08-05 10:08:46,0.878,0.639,0.168,Alert
2026-08-05 10:08:46,0.828,0.704,0.226,Alert
2026-08-05 10:08:46,0.719,0.663,0.189,Alert
2026-08-05 10:08:46,0.69,0.671,0.197,Alert
2026-08-05 10:08:46,0.555,0.684,0.208,Alert
2026-08-05 10:08:46,0.411,0.623,0.154,Alert
2026-08-05 10:08:46,0.343,0.647,0.175,Alert
2026-08-05 10:08:46,0.328,0.66,0.186,Alert
2026-08-05 10:08:46,0.301,0.64,0.169,Alert
2026-08-05 10:08:46,0.315,0.637,0.166,Alert
2026-08-05 10:08:46,0.265,0.623,0.154,Alert
2026-08-05 10:08:46,0.287,0.673,0.198,Alert
2026-08-05 10:08:46,0.317,0.65,0.178,Alert
2026-08-05 10:08:46,0.342,0.673,0.198,Alert
2026-08-05 10:08:46,0.334,0.683,0.207,Alert
2026-08-05 10:08:46,0.343,0.652,0.179,Alert
2026-08-05 10:08:46,0.411,0.686,0.21,Alert
2026-08-05 10:08:46,0.329,0.686,0.21,Alert
2026-08-05 10:08:46,0.37,0.652,0.179,Alert
2026-08-05 10:08:46,0.347,0.663,0.19,Alert
2026-08-05 10:08:46,0.341,0.663,0.19,Alert
2026-08-05 10:08:46,0.317,0.663,0.19,Alert
2026-08-05 10:08:46,0.355,0.685,0.209,Alert
2026-08-05 10:08:46,0.317,0.726,0.245,Alert
2026-08-05 10:08:46,0.346,0.558,0.096,Alert
2026-08-05 10:08:46,0.337,0.608,0.14,Alert
2026-08-05 10:08:46,0.303,0.624,0.154,Alert
2026-08-05 10:08:46,0.312,0.557,0.095,Alert
2026-08-05 10:08:46,0.367,0.501,0.046,Alert
2026-08-05 10:08:46,0.327,0.542,0.082,Alert
2026-08-05 10:08:46,0.334,0.568,0.105,Alert
2026-08-05 10:08:46,0.318,0.568,0.105,Alert
2026-08-05 10:08:46,0.337,0.559,0.096,Alert
2026-08-05 10:08:46,0.288,0.619,0.15,Alert
2026-08-05 10:08:46,0.294,0.642,0.17,Alert
2026-08-05 10:08:46,0.317,0.653,0.18,Alert
2026-08-05 10:08:46,0.291,0.632,0.162,Alert
2026-08-05 10:08:46,0.303,0.618,0.149,Alert
2026-08-05 10:08:46,0.286,0.589,0.124,Alert
2026-08-05 10:08:46,0.298,0.457,0.006,Alert
2026-08-05 10:08:46,0.294,0.853,0.358,Alert
